,Name,Rating,Review Count,Price,Address
255,Ovrdrive,4.5,42,,"112 W Jefferson St, Louisville, KY 40202"
256,Hi-Five Doughnuts,4.5,273,$,"1011 E Main St, Louisville, KY 40206"
257,Guy Fieri's Flavortown Kitchen,5.0,1,,"Louisville, KY 40220"
258,Seviche A Latin Restaurant,4.5,336,$$$,"1538 Bardstown Rd, Louisville, KY 40205"
259,Metro Diner,4.0,366,$$,"4901 Outer Lp, Ste 100, Louisville, KY 40219"
260,Geraldines Kitchen,4.0,100,$,"402 Wall St, Jeffersonville, IN 47130"
261,Scene at The Center,3.5,21,$$,"501 West Main St, Louisville, KY 40202"
262,Wiltshire Pantry Bakery and Café - Downtown,4.5,16,,"605 W Main St, Louisville, KY 40202"
263,Pat's Steak House,3.0,163,$$$,"2437 Brownsboro Rd, Louisville, KY 40206"
264,Bistro 634,4.5,6,$$,"234 E Gray St, Ste 162, Louisville, KY 40202"
265,Bae's Baekery,5.0,37,,"1804 Frankfort Ave, Louisville, KY 40206"
266,Chili's,3.0,54,$$,"3007 Poplar Level Rd, Louisville, KY 40217"
267,Kern's Korner,4.5,41,$,"2600 Bardstown Rd, Louisville, KY 40205"
268,Lucretia's Kitchen,4.0,43,$$,"1812 W Muhammad Ali Blvd, Louisville, KY 40203"
269,Jaggers,4.0,143,$,"6464 Dutchmans Pkwy, Louisville, KY 40205"
270,The Yellow Cactus,3.0,8,,"2350 Frankfort Ave, Louisville, KY 40206"
271,Bourbon Bent  BBQ,4.5,13,$,"Louisville, KY 40206"
272,Boomtown Kitchen,4.0,74,$$,"114 E Main St, New Albany, IN 47150"
273,Elk Run Grill,4.5,2,,"1820 Charlestown Pike, Jeffersonville, IN 47130"
274,Koreana Restaurant III,4.0,159,$$,"5009 Preston Hwy, Louisville, KY 40213"
275,Longshot Lobsta,4.0,42,$$,"Louisville, KY 40202"
276,Ada’s Kitchen,4.5,21,$,"214 W Broadway, Louisville, KY 40202"
277,MozzaPi,3.5,11,,"1020 E Washington St, Louisville, KY 40206"
278,Wologisi Restaurant,4.5,23,,"3707 Klondike Ln, Louisville, KY 40218"
279,Wagner's Pharmacy,3.5,176,$,"3113 S 4th St, Louisville, KY 40214"
280,Aladdin's,4.5,136,$,"37 Bank St, Ste 2, New Albany, IN 47150"
281,The House of Tortilla and snacks,5.0,1,,"5211 Preston Hwy, Louisville, KY 40213"
282,La Guanaquita,4.5,44,$,"4231 Taylor Blvd, Louisville, KY 40215"
283,Shiraz Mediterranean Grill,4.0,159,$$,"3501 Poplar Level Rd, Louisville, KY 40213"
284,Deapster 502,4.5,2,,"1001 Logan St, Louisville, KY 40204"
285,Daisy's Breakfast Tacos,5.0,4,,"1ST And Main St, Louisville, KY 40202"
286,Louisville Thoroughbred Society,5.0,4,,"209 E Main St, Ste 200, Louisville, KY 40202"
287,Cuban Restaurant And Bakery,5.0,10,,"5614 Preston Hwy, Louisville, KY 40219"
288,Glow Worm Play Cafe,5.0,11,,"962 Barret Ave, Louisville, KY 40204"
289,Garrison World Famous Southern BBQ,3.5,5,,"1125 Bardstown Rd, Louisville, KY 40204"
290,Cuban Food,5.0,12,,"5614 Preston Hwy, Louisville, KY 40213"
291,Double Dragon,4.0,93,$,"1255 Goss Ave, Louisville, KY 40217"
292,Sicilian Pizza & Pasta,3.5,285,$$,"627 S 4th St, Louisville, KY 40202"
293,Walker's Exchange,3.0,79,$$,"140 N 4th St, Fl 2, The Galt House Hotel, Louisville, KY 40202"
294,Sam's Seafood & Grill,4.5,7,,"4918 Poplar Level Rd, Louisville, KY 40219"
295,Common Table,5.0,1,,"2234 W Market St, Louisville, KY 40212"
296,Franco's Restaurant and Catering,4.0,70,$$,"3300 Dixie Hwy, Louisville, KY 40216"
297,I Love Tacos,4.0,85,$,"1534 Bardstown Rd, Louisville, KY 40205"
298,Goodfellas Pizzeria - Baxter Ave.,4.0,88,,"642 Baxter Ave, Unit 102, Louisville, KY 40204"
299,Panera Bread,3.5,56,$$,"3131 Poplar Level Rd, Louisville, KY 40213"
300,211 Clover Lane,4.0,56,$$$$,"211 Clover Ln, Louisville, KY 40207"
301,Afrokanza Lounge,1.0,1,,"1578 Bardstown Rd, Louisville, KY 40205"
302,Highland Morning,4.0,495,$$,"1416 Bardstown Rd, Louisville, KY 40204"
303,Bellissimo restaurant,4.5,3,,"2217 Steier Ln, Louisville, KY 40218"
304,Kem's Restaurant,3.0,1,,"447 Farmington Ave, Louisville, KY 40208"
305,Bistro Le Relais,4.0,98,$$$,"2817 Taylorsville Rd, Louisville, KY 40205"
306,Derby Cafe,3.5,35,$$,"704 Central Ave, Kentucky Derby Museum, Louisville, KY 40208"
307,Sanag,4.5,3,,"5312 S 3rd St, Louisville, KY 40214"
